Ticker,Start_Date,End_Date,Total_PnL
PGEL.NS,2021-01-01,2021-02-01,274054.5313095397
NAVINFLUOR.NS,2021-01-01,2021-03-01,25463.761923828162
AFFLE.NS,2021-01-01,2021-03-01,411571.0557481691
PATANJALI.NS,2021-02-01,2021-04-01,90800.55095349124
TATAELXSI.NS,2021-03-01,2021-04-01,74900.9572807618
LAURUSLABS.NS,2021-01-01,2021-05-03,465557.0365079653
TATACOMM.NS,2021-01-01,2021-05-03,18356.281868835213
ADANIGREEN.NS,2021-01-01,2021-06-01,295261.04802026367
ADANIENT.NS,2021-05-03,2021-06-01,189562.285916748
DIXON.NS,2021-01-01,2021-07-01,727592.5380913088
NEULANDLAB.NS,2021-01-01,2021-07-01,756172.0864910887
HINDCOPPER.NS,2021-04-01,2021-11-01,114928.26034556582
ANANTRAJ.NS,2021-03-01,2021-12-01,323513.3967641412
GPIL.NS,2021-06-01,2022-01-03,692409.0909678038
TATAELXSI.NS,2021-08-02,2022-02-01,1464598.7347421874
ADANIENT.NS,2021-08-02,2022-03-02,281798.24797094666
PGEL.NS,2021-04-01,2022-04-01,1393390.3884630774
ATGL.NS,2021-05-03,2022-04-01,1500804.150864746
ADANIENSOL.NS,2021-11-01,2022-05-02,1151128.6203001712
DEEPAKFERT.NS,2022-04-01,2022-05-02,359105.4277391364
JSWENERGY.NS,2021-11-01,2022-06-01,-566329.4189732057
RPOWER.NS,2022-05-02,2022-06-01,-160188.09834052273
POONAWALLA.NS,2021-06-01,2022-07-01,1015623.0079637602
ANGELONE.NS,2022-03-02,2022-07-01,-77277.96757916198
BSE.NS,2022-07-01,2022-08-01,275462.7091583861
JBMA.NS,2022-01-03,2022-09-01,-216281.48198581045
KPITTECH.NS,2022-02-01,2022-09-01,-193380.01904415817
CGPOWER.NS,2021-01-01,2022-10-03,3423652.3048045663
TATAELXSI.NS,2022-05-02,2022-10-03,257983.21712060567
ADANIENSOL.NS,2022-08-01,2022-12-01,-387123.942178955
PGEL.NS,2022-09-01,2022-12-01,259552.77897779818
GMDCLTD.NS,2022-05-02,2023-01-02,-140577.0632556388
ATGL.NS,2022-07-01,2023-01-02,1096338.2702575687
ADANIPOWER.NS,2022-06-01,2023-02-01,-602306.6912494234
DEEPAKFERT.NS,2022-10-03,2023-02-01,-847713.2155652465
HSCL.NS,2022-12-01,2023-02-01,-268275.6299496693
ADANIENT.NS,2022-10-03,2023-03-01,-1549189.0274245602
VBL.NS,2023-02-01,2023-03-01,423373.4960977477
GESHIP.NS,2023-01-02,2023-04-03,-54102.76924609346
BDL.NS,2022-09-01,2023-05-02,533690.828115051
KALYANKJIL.NS,2023-04-03,2023-06-01,66459.50822448684
PGEL.NS,2023-04-03,2023-06-01,585965.7157091675
BLS.NS,2022-06-01,2023-07-03,2178023.089856811
AEGISLOG.NS,2023-03-01,2023-07-03,-278259.47703228786
VBL.NS,2023-04-03,2023-08-01,406180.82434359804
IRCON.NS,2023-06-01,2023-08-01,633297.5267737885
KARURVYSYA.NS,2023-02-01,2023-09-01,534289.3102038878
DATAPATTNS.NS,2023-06-01,2023-09-01,1648197.576385864
ANANTRAJ.NS,2023-05-02,2023-11-01,1743559.7528694295
MAZDOCK.NS,2022-12-01,2023-12-01,2848928.0027919924
RVNL.NS,2023-01-02,2023-12-01,3454783.7699191445
NEULANDLAB.NS,2023-07-03,2023-12-01,2594769.457026123
FORCEMOT.NS,2023-10-03,2023-12-01,-600373.4394560549
JBMA.NS,2023-08-01,2024-01-01,1394706.4038168339
KAYNES.NS,2023-12-01,2024-03-01,1486038.0861032726
KALYANKJIL.NS,2023-12-01,2024-03-01,1357336.12417157
NEULANDLAB.NS,2024-01-01,2024-03-01,2233347.057525391
PFC.NS,2023-09-01,2024-04-01,6392954.065063784
KALYANKJIL.NS,2024-05-02,2024-07-01,2111639.4620194715
SUZLON.NS,2023-09-01,2024-08-01,7724219.33864194
FORCEMOT.NS,2024-05-02,2024-09-02,-1134087.7017714821
BSE.NS,2023-12-01,2024-10-01,6177045.508931579
IRFC.NS,2024-04-01,2024-10-01,1028767.1197260437
NBCC.NS,2024-08-01,2024-11-01,-907151.1918644242
OIL.NS,2024-10-01,2024-11-01,-1310369.8145712884
COCHINSHIP.NS,2024-08-01,2024-12-02,-3111452.5674190656
PGEL.NS,2024-11-01,2024-12-02,1227816.4180936888
TRENT.NS,2024-10-01,2025-01-01,-778136.4006416025
NETWEB.NS,2024-10-01,2025-01-01,1103807.1700317385
INOXWIND.NS,2024-12-02,2025-01-01,-447275.5998577131
RVNL.NS,2024-10-01,2025-02-01,-1154319.359410095
GODFRYPHLP.NS,2024-12-02,2025-02-01,-871280.3090067133
OFSS.NS,2024-12-02,2025-02-01,-2113315.931570312
GVT&D.NS,2024-03-01,2025-03-03,5422633.389941161
NEULANDLAB.NS,2024-10-01,2025-03-03,-527181.3023671877
POLICYBZR.NS,2025-01-01,2025-03-03,-3006288.293035524
JYOTICNC.NS,2025-02-01,2025-03-03,-1665909.0545535889
ANANTRAJ.NS,2025-02-01,2025-03-03,-1992157.8519433588
WOCKPHARMA.NS,2024-09-02,2025-05-02,1666337.9557103873
DIXON.NS,2025-01-01,2025-05-02,-744318.316890625
BSE.NS,2025-03-03,2025-05-02,2048075.8505352777
AEGISLOG.NS,2025-04-01,2025-05-02,-56863.24513836671
AMBER.NS,2025-05-02,2025-07-01,978991.8549999997
KAYNES.NS,2025-05-02,2025-07-01,438748.41149999923
MAZDOCK.NS,2025-03-03,2025-08-01,1198043.0389760744
PGEL.NS,2025-01-01,2025-09-01,-3274883.114261353
SARDAEN.NS,2025-03-03,2025-09-01,2624095.645703644
RPOWER.NS,2025-07-01,2025-09-01,-2488462.713931148
ASTERDM.NS,2025-08-01,2025-09-01,168726.13393579237
DEEPAKFERT.NS,2025-03-03,2025-10-01,3721788.868180237
POWERINDIA.NS,2025-09-01,2025-10-01,-266135.2441699216
BSE.NS,2025-06-02,2025-11-03,89705.8199091797
WOCKPHARMA.NS,2025-07-01,2025-11-03,-1026721.645916259
AMBER.NS,2025-09-01,2025-11-03,208395.65800000075
PAYTM.NS,2025-03-03,2025-12-01,4833512.937096924
GRSE.NS,2025-11-03,2025-12-01,357507.1853686515
