Ticker,Date,Action,Shares_Sold,Sale_Price,Sale_Value,Fee,Allocated_Cost_Basis,Realized_PnL
PGEL.NS,2021-02-01,SELL,62432,18.19104766845703,1135703.4880371094,1135.7034880371093,860513.2532395325,274054.5313095397
DIXON.NS,2021-02-01,TRIM,40,3029.437744140625,121177.509765625,121.177509765625,108846.96087890625,12209.371376953131
NEULANDLAB.NS,2021-02-01,TRIM,143,1313.2933349609375,187800.94689941406,187.80094689941407,153963.68120922853,33649.46474328611
NAVINFLUOR.NS,2021-03-01,SELL,475,2613.87939453125,1241592.7124023438,1241.5927124023438,1214887.3577661132,25463.761923828162
AFFLE.NS,2021-03-01,SELL,1394,1070.0999755859375,1491719.3659667969,1491.7193659667969,1078656.590852661,411571.0557481691
CGPOWER.NS,2021-03-01,TRIM,1986,56.15888977050781,111531.55508422852,111.53155508422851,86519.23646813132,24900.78706101296
DIXON.NS,2021-03-01,TRIM,14,3888.226318359375,54435.16845703125,54.43516845703125,38096.43630761719,16284.296980957035
NEULANDLAB.NS,2021-03-01,TRIM,139,2022.052490234375,281065.2961425781,281.0652961425781,149657.00481176758,131127.22603466795
PATANJALI.NS,2021-04-01,SELL,5140,217.7836456298828,1119407.9385375977,1119.4079385375976,1027487.9796455688,90800.55095349124
TATAELXSI.NS,2021-04-01,SELL,553,2599.08740234375,1437295.3334960938,1437.2953334960937,1360957.080881836,74900.9572807618
CGPOWER.NS,2021-04-01,TRIM,3060,67.91422271728516,207817.52151489258,207.81752151489258,133307.58489047425,74302.11910290344
LAURUSLABS.NS,2021-05-03,SELL,3910,469.29974365234375,1834961.997680664,1834.9619976806641,1367569.9991750182,465557.0365079653
TATACOMM.NS,2021-05-03,SELL,1351,1020.5390625,1378748.2734375,1378.7482734375,1359013.2432952272,18356.281868835213
NEULANDLAB.NS,2021-05-03,TRIM,53,2610.013427734375,138330.71166992188,138.33071166992187,57960.47005014917,80231.91090810279
HINDCOPPER.NS,2021-05-03,TRIM,1572,150.44207763671875,236494.94604492188,236.49494604492187,192000.21499227904,44258.236106597906
DIXON.NS,2021-05-03,TRIM,41,4241.70654296875,173909.96826171875,173.90996826171875,118077.24981787108,55658.808475585945
ADANIGREEN.NS,2021-06-01,SELL,1486,1271.050048828125,1888780.3725585938,1888.7803725585939,1591630.5441657715,295261.04802026367
ADANIENT.NS,2021-06-01,SELL,1203,1412.1866455078125,1698860.5345458984,1698.8605345458984,1507599.3880946045,189562.285916748
ATGL.NS,2021-06-01,TRIM,48,1438.219482421875,69034.53515625,69.03453515625,59346.740578125005,9618.760042968752
PGEL.NS,2021-06-01,TRIM,5407,41.10346984863281,222246.46147155762,222.2464614715576,203686.5704357993,18337.644574286736
DIXON.NS,2021-07-01,SELL,482,4401.90673828125,2121719.0478515625,2121.7190478515627,1476157.2675458984,643440.0612578127
NEULANDLAB.NS,2021-07-01,SELL,639,2165.755126953125,1383917.5261230469,1383.9175261230469,871370.1237918918,511163.4848050319
GPIL.NS,2021-07-01,TRIM,1012,321.40625,325263.125,325.263125,228391.17277539065,96546.68909960936
PGEL.NS,2021-08-02,TRIM,2640,36.90169525146485,97420.4754638672,97.4204754638672,101975.8230472312,-4652.76805882786
CGPOWER.NS,2021-08-02,TRIM,3701,78.1384048461914,289190.2363357544,289.1902363357544,199500.37258024953,89400.67351916913
GPIL.NS,2021-08-02,TRIM,2093,402.68463134765625,842818.9334106445,842.8189334106446,472354.4709672852,369621.6435099486
