,Sector
ABB.NS,Capital Goods
ADANIENSOL.NS,Power
ADANIENT.NS,Metals & Mining
ADANIGREEN.NS,Power
ADANIPORTS.NS,Services
ADANIPOWER.NS,Power
AMBUJACEM.NS,Construction Materials
APOLLOHOSP.NS,Healthcare
ASIANPAINT.NS,Consumer Durables
DMART.NS,Consumer Services
AXISBANK.NS,Financial Services
BAJAJ-AUTO.NS,Automobile and Auto Components
BAJFINANCE.NS,Financial Services
BAJAJFINSV.NS,Financial Services
BAJAJHLDNG.NS,Financial Services
BANKBARODA.NS,Financial Services
BEL.NS,Capital Goods
BPCL.NS,Oil Gas & Consumable Fuels
BHARTIARTL.NS,Telecommunication
BOSCHLTD.NS,Automobile and Auto Components
BRITANNIA.NS,Fast Moving Consumer Goods
CGPOWER.NS,Capital Goods
CANBK.NS,Financial Services
CHOLAFIN.NS,Financial Services
CIPLA.NS,Healthcare
COALINDIA.NS,Oil Gas & Consumable Fuels
CUMMINSIND.NS,Capital Goods
DLF.NS,Realty
DIVISLAB.NS,Healthcare
DRREDDY.NS,Healthcare
EICHERMOT.NS,Automobile and Auto Components
ETERNAL.NS,Consumer Services
GAIL.NS,Oil Gas & Consumable Fuels
GODREJCP.NS,Fast Moving Consumer Goods
GRASIM.NS,Construction Materials
HCLTECH.NS,Information Technology
HDFCAMC.NS,Financial Services
HDFCBANK.NS,Financial Services
HDFCLIFE.NS,Financial Services
HINDALCO.NS,Metals & Mining
HAL.NS,Capital Goods
HINDUNILVR.NS,Fast Moving Consumer Goods
HINDZINC.NS,Metals & Mining
HYUNDAI.NS,Automobile and Auto Components
ICICIBANK.NS,Financial Services
ITC.NS,Fast Moving Consumer Goods
INDHOTEL.NS,Consumer Services
IOC.NS,Oil Gas & Consumable Fuels
IRFC.NS,Financial Services
INFY.NS,Information Technology
INDIGO.NS,Services
JSWSTEEL.NS,Metals & Mining
JINDALSTEL.NS,Metals & Mining
JIOFIN.NS,Financial Services
KOTAKBANK.NS,Financial Services
LTM.NS,Information Technology
LT.NS,Construction
LODHA.NS,Realty
M&M.NS,Automobile and Auto Components
MARUTI.NS,Automobile and Auto Components
MAXHEALTH.NS,Healthcare
MAZDOCK.NS,Capital Goods
MUTHOOTFIN.NS,Financial Services
NTPC.NS,Power
NESTLEIND.NS,Fast Moving Consumer Goods
ONGC.NS,Oil Gas & Consumable Fuels
PIDILITIND.NS,Chemicals
PFC.NS,Financial Services
POWERGRID.NS,Power
PNB.NS,Financial Services
RECLTD.NS,Financial Services
RELIANCE.NS,Oil Gas & Consumable Fuels
SBILIFE.NS,Financial Services
MOTHERSON.NS,Automobile and Auto Components
SHREECEM.NS,Construction Materials
SHRIRAMFIN.NS,Financial Services
ENRIN.NS,Capital Goods
SIEMENS.NS,Capital Goods
SOLARINDS.NS,Chemicals
SBIN.NS,Financial Services
SUNPHARMA.NS,Healthcare
TVSMOTOR.NS,Automobile and Auto Components
TATACAP.NS,Financial Services
TCS.NS,Information Technology
TATACONSUM.NS,Fast Moving Consumer Goods
TMCV.NS,Capital Goods
TMPV.NS,Automobile and Auto Components
TATAPOWER.NS,Power
TATASTEEL.NS,Metals & Mining
TECHM.NS,Information Technology
TITAN.NS,Consumer Durables
TORNTPHARM.NS,Healthcare
TRENT.NS,Consumer Services
ULTRACEMCO.NS,Construction Materials
UNIONBANK.NS,Financial Services
UNITDSPR.NS,Fast Moving Consumer Goods
VBL.NS,Fast Moving Consumer Goods
VEDL.NS,Metals & Mining
WIPRO.NS,Information Technology
ZYDUSLIFE.NS,Healthcare
360ONE.NS,Financial Services
APLAPOLLO.NS,Capital Goods
AUBANK.NS,Financial Services
ATGL.NS,Oil Gas & Consumable Fuels
ABCAPITAL.NS,Financial Services
ALKEM.NS,Healthcare
ASHOKLEY.NS,Capital Goods
ASTRAL.NS,Capital Goods
AUROPHARMA.NS,Healthcare
BSE.NS,Financial Services
BANKINDIA.NS,Financial Services
BDL.NS,Capital Goods
BHARATFORG.NS,Automobile and Auto Components
BHEL.NS,Capital Goods
GROWW.NS,Financial Services
BIOCON.NS,Healthcare
BLUESTARCO.NS,Consumer Durables
COCHINSHIP.NS,Capital Goods
COFORGE.NS,Information Technology
COLPAL.NS,Fast Moving Consumer Goods
CONCOR.NS,Services
COROMANDEL.NS,Chemicals
DABUR.NS,Fast Moving Consumer Goods
DIXON.NS,Consumer Durables
EXIDEIND.NS,Automobile and Auto Components
NYKAA.NS,Consumer Services
FEDERALBNK.NS,Financial Services
FORTIS.NS,Healthcare
GVT&D.NS,Capital Goods
GMRAIRPORT.NS,Services
GLENMARK.NS,Healthcare
GODFRYPHLP.NS,Fast Moving Consumer Goods
GODREJPROP.NS,Realty
HAVELLS.NS,Consumer Durables
HEROMOTOCO.NS,Automobile and Auto Components
HINDPETRO.NS,Oil Gas & Consumable Fuels
POWERINDIA.NS,Capital Goods
HUDCO.NS,Financial Services
ICICIGI.NS,Financial Services
ICICIAMC.NS,Financial Services
IDFCFIRSTB.NS,Financial Services
INDIANB.NS,Financial Services
IRCTC.NS,Consumer Services
IREDA.NS,Financial Services
INDUSTOWER.NS,Telecommunication
INDUSINDBK.NS,Financial Services
NAUKRI.NS,Consumer Services
JSWENERGY.NS,Power
JUBLFOOD.NS,Consumer Services
KEI.NS,Capital Goods
KPITTECH.NS,Information Technology
KALYANKJIL.NS,Consumer Durables
LTF.NS,Financial Services
LGEINDIA.NS,Consumer Durables
LICHSGFIN.NS,Financial Services
LAURUSLABS.NS,Healthcare
LENSKART.NS,Consumer Services
LUPIN.NS,Healthcare
MRF.NS,Automobile and Auto Components
M&MFIN.NS,Financial Services
MANKIND.NS,Healthcare
MARICO.NS,Fast Moving Consumer Goods
MFSL.NS,Financial Services
MOTILALOFS.NS,Financial Services
MPHASIS.NS,Information Technology
MCX.NS,Financial Services
NHPC.NS,Power
NMDC.NS,Metals & Mining
NATIONALUM.NS,Metals & Mining
OBEROIRLTY.NS,Realty
OIL.NS,Oil Gas & Consumable Fuels
PAYTM.NS,Financial Services
OFSS.NS,Information Technology
POLICYBZR.NS,Financial Services
PIIND.NS,Chemicals
PAGEIND.NS,Textiles
PATANJALI.NS,Fast Moving Consumer Goods
PERSISTENT.NS,Information Technology
PHOENIXLTD.NS,Realty
POLYCAB.NS,Capital Goods
PREMIERENE.NS,Capital Goods
PRESTIGE.NS,Realty
RADICO.NS,Fast Moving Consumer Goods
RVNL.NS,Construction
SBICARD.NS,Financial Services
SRF.NS,Chemicals
SAIL.NS,Metals & Mining
SUPREMEIND.NS,Capital Goods
SUZLON.NS,Capital Goods
SWIGGY.NS,Consumer Services
TATACOMM.NS,Telecommunication
TATAELXSI.NS,Information Technology
TATAINVEST.NS,Financial Services
TIINDIA.NS,Automobile and Auto Components
UPL.NS,Chemicals
VMM.NS,Consumer Services
IDEA.NS,Telecommunication
VOLTAS.NS,Consumer Durables
WAAREEENER.NS,Capital Goods
YESBANK.NS,Financial Services
AARTIIND.NS,Chemicals
ABREL.NS,Realty
AEGISLOG.NS,Oil Gas & Consumable Fuels
AFCONS.NS,Construction
AFFLE.NS,Information Technology
ARE&M.NS,Automobile and Auto Components
AMBER.NS,Consumer Durables
ANANDRATHI.NS,Financial Services
ANANTRAJ.NS,Realty
ANGELONE.NS,Financial Services
APTUS.NS,Financial Services
