Date,Ticker,Action,Shares,Price,Trade_Value,Fee
2021-01-01,ADANIGREEN.NS,BUY,972,1065.949951171875,1036103.3525390625,1036.1033525390626
2021-01-01,LAURUSLABS.NS,BUY,3013,347.10614013671875,1045830.8002319336,1045.8308002319336
2021-01-01,CGPOWER.NS,BUY,20666,44.10720443725586,911519.4869003296,911.5194869003296
2021-01-01,DIXON.NS,BUY,422,2718.45556640625,1147188.2490234375,1147.1882490234375
2021-01-01,PGEL.NS,BUY,62432,13.769438743591309,859653.5996398926,859.6535996398926
2021-01-01,NAVINFLUOR.NS,BUY,410,2594.404541015625,1063705.8618164062,1063.7058618164062
2021-01-01,TATACOMM.NS,BUY,1033,1011.3457641601562,1044720.1743774414,1044.7201743774415
2021-01-01,NEULANDLAB.NS,BUY,785,1075.593505859375,844340.9020996094,844.3409020996094
2021-01-01,AFFLE.NS,BUY,1338,773.4299926757812,1034849.3302001953,1034.8493302001953
2021-02-01,PGEL.NS,SELL,62432,18.19104766845703,1135703.4880371094,1135.7034880371093
2021-02-01,ADANIGREEN.NS,BUY,90,1024.25,92182.5,92.1825
2021-02-01,CGPOWER.NS,BUY,3400,39.95825958251953,135858.0825805664,135.85808258056642
2021-02-01,LAURUSLABS.NS,BUY,57,343.8648986816406,19600.299224853516,19.600299224853515
2021-02-01,DIXON.NS,TRIM,40,3029.437744140625,121177.509765625,121.177509765625
2021-02-01,TATACOMM.NS,BUY,125,908.4188232421876,113552.35290527345,113.55235290527345
2021-02-01,NEULANDLAB.NS,TRIM,143,1313.2933349609375,187800.94689941406,187.80094689941407
2021-02-01,AFFLE.NS,BUY,56,763.030029296875,42729.681640625,42.729681640625
2021-02-01,NAVINFLUOR.NS,BUY,65,2307.197265625,149967.822265625,149.96782226562502
2021-02-01,PATANJALI.NS,BUY,4718,196.36387634277344,926444.7685852051,926.4447685852051
2021-03-01,NAVINFLUOR.NS,SELL,475,2613.87939453125,1241592.7124023438,1241.5927124023438
2021-03-01,AFFLE.NS,SELL,1394,1070.0999755859375,1491719.3659667969,1491.7193659667969
2021-03-01,PATANJALI.NS,BUY,422,237.0065155029297,100016.74954223633,100.01674954223633
2021-03-01,ADANIGREEN.NS,BUY,186,1141.0,212226.0,212.226
2021-03-01,CGPOWER.NS,TRIM,1986,56.15888977050781,111531.55508422852,111.53155508422851
2021-03-01,LAURUSLABS.NS,BUY,615,357.64129638671875,219949.39727783203,219.94939727783205
2021-03-01,DIXON.NS,TRIM,14,3888.226318359375,54435.16845703125,54.43516845703125
2021-03-01,NEULANDLAB.NS,TRIM,139,2022.052490234375,281065.2961425781,281.0652961425781
2021-03-01,TATACOMM.NS,BUY,114,1030.0093994140625,117421.07153320312,117.42107153320313
2021-03-01,ANANTRAJ.NS,BUY,18035,51.42208480834961,927397.2995185852,927.3972995185852
2021-03-01,TATAELXSI.NS,BUY,553,2458.5849609375,1359597.4833984375,1359.5974833984376
2021-04-01,PATANJALI.NS,SELL,5140,217.7836456298828,1119407.9385375977,1119.4079385375976
2021-04-01,TATAELXSI.NS,SELL,553,2599.08740234375,1437295.3334960938,1437.2953334960937
2021-04-01,CGPOWER.NS,TRIM,3060,67.91422271728516,207817.52151489258,207.81752151489258
2021-04-01,ADANIGREEN.NS,BUY,23,1160.050048828125,26681.151123046875,26.681151123046874
2021-04-01,NEULANDLAB.NS,BUY,8,2155.5771484375,17244.6171875,17.2446171875
2021-04-01,ANANTRAJ.NS,BUY,134,55.32818984985352,7413.977439880372,7.413977439880372
2021-04-01,LAURUSLABS.NS,BUY,225,359.21466064453125,80823.29864501953,80.82329864501953
2021-04-01,DIXON.NS,BUY,83,3580.24755859375,297160.54736328125,297.16054736328124
2021-04-01,TATACOMM.NS,BUY,79,1037.4935302734375,81961.98889160156,81.96198889160156
2021-04-01,PGEL.NS,BUY,31112,39.00508117675781,1213526.085571289,1213.526085571289
2021-04-01,HINDCOPPER.NS,BUY,9160,122.0155258178711,1117662.2164916992,1117.6622164916992
2021-05-03,LAURUSLABS.NS,SELL,3910,469.29974365234375,1834961.997680664,1834.9619976806641
2021-05-03,TATACOMM.NS,SELL,1351,1020.5390625,1378748.2734375,1378.7482734375
2021-05-03,PGEL.NS,BUY,8033,32.32020950317383,259628.24293899536,259.62824293899536
2021-05-03,CGPOWER.NS,BUY,490,72.16195678710938,35359.358825683594,35.35935882568359
2021-05-03,ANANTRAJ.NS,BUY,2123,51.61986541748047,109588.97428131104,109.58897428131104
2021-05-03,ADANIGREEN.NS,BUY,215,1036.5,222847.5,222.8475
2021-05-03,NEULANDLAB.NS,TRIM,53,2610.013427734375,138330.71166992188,138.33071166992187
2021-05-03,HINDCOPPER.NS,TRIM,1572,150.44207763671875,236494.94604492188,236.49494604492187
2021-05-03,DIXON.NS,TRIM,41,4241.70654296875,173909.96826171875,173.90996826171875
2021-05-03,ATGL.NS,BUY,1010,1235.1552734375,1247506.826171875,1247.506826171875
2021-05-03,ADANIENT.NS,BUY,1203,1251.9478759765625,1506093.2947998047,1506.0932947998047
2021-06-01,ADANIGREEN.NS,SELL,1486,1271.050048828125,1888780.3725585938,1888.7803725585939
2021-06-01,ADANIENT.NS,SELL,1203,1412.1866455078125,1698860.5345458984,1698.8605345458984
2021-06-01,CGPOWER.NS,BUY,11,82.92943572998047,912.2237930297852,0.9122237930297852
2021-06-01,ATGL.NS,TRIM,48,1438.219482421875,69034.53515625,69.03453515625
2021-06-01,PGEL.NS,TRIM,5407,41.10346984863281,222246.46147155762,222.2464614715576
2021-06-01,ANANTRAJ.NS,BUY,179,56.8609619140625,10178.112182617188,10.178112182617188
2021-06-01,NEULANDLAB.NS,BUY,181,2044.939453125,370134.041015625,370.13404101562503
2021-06-01,HINDCOPPER.NS,BUY,399,158.0225067138672,63050.98017883301,63.05098017883301
2021-06-01,DIXON.NS,BUY,72,4098.4677734375,295089.6796875,295.0896796875
2021-06-01,POONAWALLA.NS,BUY,9467,141.35873413085938,1338243.1360168457,1338.2431360168457
2021-06-01,GPIL.NS,BUY,7149,225.45751953125,1611795.8071289062,1611.7958071289063
2021-07-01,DIXON.NS,SELL,482,4401.90673828125,2121719.0478515625,2121.7190478515627
2021-07-01,NEULANDLAB.NS,SELL,639,2165.755126953125,1383917.5261230469,1383.9175261230469
2021-07-01,ATGL.NS,BUY,828,967.4822998046876,801075.3442382814,801.0753442382813
